epoch,learning_rate,training_time_seconds,train_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,0.002,227.19330300000001,0.6675476007736646,0.3510129174843491,0.2807308629471884,0.026613268864092224,0.009190552108480429,4.078937258797619,42.16842269897461,,0.5168600678443909,0.3238814175128937,0.17602334916591644
1,0.002,234.72582240000156,0.5009790169082673,0.28354941589026317,0.1988588927147782,0.012178092827628788,0.006392617412887114,3.4467198216480766,9.026765823364258,,0.5661303997039795,0.36549505591392517,0.21525150537490845
2,0.002,244.82222449999972,0.4503704875345655,0.26035066356181136,0.17397422361591083,0.01028127579085872,0.00576432405660864,3.376147764897057,8.4516019821167,,0.5034998059272766,0.4050351679325104,0.21638068556785583
3,0.002,250.26124960000016,0.4100987737779675,0.23541932236327817,0.1611740717566327,0.008337399863985816,0.005167979974172885,3.601040435706073,9.333223342895508,,0.5441550016403198,0.4355021119117737,0.2493959367275238
4,0.002,254.95896729999913,0.3661889520432302,0.21116879422534332,0.14370817449019263,0.006585127564432497,0.0047268567070447905,3.6925241599681407,7.8242268562316895,,0.5318543314933777,0.4758257269859314,0.24894408881664276
5,0.002,256.4118259000006,0.3393293210731344,0.19279296868122542,0.13574652954453398,0.006416467099256346,0.004373353881172756,4.035381067137004,8.770429611206055,,0.4782680571079254,0.4585934579372406,0.26163652539253235
6,0.002,258.79663100000107,0.30234813537855865,0.1674789576546142,0.12555489356927424,0.00521736245494909,0.0040969211876056314,4.299608838220357,10.285144805908203,,0.5269129872322083,0.4595106840133667,0.2593502998352051
7,0.002,258.1009560000002,0.2657394792567863,0.14246182985272002,0.11566234530074153,0.00384932112351469,0.0037659827427964972,4.400737606079472,17.51140022277832,,0.49107882380485535,0.4622192084789276,0.25719279050827026
8,0.002,259.02922949999993,0.23293102540166272,0.11830874360524692,0.10784619313623259,0.0032570388596612153,0.003519050843572509,4.477266096875735,12.31240463256836,,0.4110390543937683,0.4512811601161957,0.2508898377418518
9,0.002,256.4074596999999,0.20461191321055777,0.0964851828163814,0.10215116933606534,0.0027605290523188674,0.003215031854521475,4.40177234753906,13.496942520141602,,0.4561726450920105,0.45338183641433716,0.2592019736766815
10,0.002,256.91735179999887,0.1881210877209419,0.08457716966522971,0.09831052822124982,0.002268603914668303,0.0029647854926335144,4.372589654285416,13.502986907958984,,0.4900835156440735,0.47374728322029114,0.2677372097969055
11,0.002,258.9724349999997,0.15722549791157486,0.06399589282863959,0.08842337904837329,0.0020923119396603334,0.002713914733182833,3.9169902509523307,14.439339637756348,,0.48253756761550903,0.45019832253456116,0.26149308681488037
12,0.002,257.80240629999935,0.1405681230595358,0.05392671647568343,0.08243915413389442,0.0017564254059746266,0.0024458268390855796,3.6382337263238576,8.734994888305664,,0.3897440433502197,0.43770337104797363,0.25396043062210083
13,0.002,259.89001499999904,0.12357914134075768,0.04361476934880682,0.07661662408365653,0.0010826691813040656,0.002265079303440517,3.234757810227784,7.503410816192627,,0.47561731934547424,0.4721307158470154,0.2729877829551697
14,0.002,260.53187120000075,0.114198756038479,0.03855064983747387,0.07262445846478255,0.0009242534951068511,0.0020993940995364902,3.075073161829821,6.910533905029297,,0.41389259696006775,0.42793887853622437,0.24795515835285187
15,0.002,257.8375189999988,0.10070423424801966,0.03417159268549579,0.06358160324741592,0.0010955028060066862,0.0018555351968021377,2.9074041787912006,6.993484020233154,,0.3735097050666809,0.42471927404403687,0.2482173889875412
16,0.002,259.5838172999993,0.09486841621360013,0.030893082722695357,0.061500709030686725,0.0007211258018677791,0.0017534986293200933,2.7876198977111324,8.382412910461426,,0.4153871536254883,0.4358866512775421,0.26308372616767883
17,0.002,259.35527489999913,0.09055505855280438,0.02978600564540971,0.058525396284726465,0.0006381098944962749,0.001605546129072676,2.7412045407391754,5.1062164306640625,,0.4277430772781372,0.4361844062805176,0.2657409906387329
18,0.002,259.84612039999956,0.08639621935588748,0.028364088975443593,0.055875160167679974,0.0006094368080265104,0.0015475331773361198,2.715487373743945,5.123679161071777,,0.4011023938655853,0.4385366141796112,0.2613709568977356
19,0.002,260.1542410999991,0.08150444359062353,0.027404770372446763,0.052150203716311495,0.0005224088099530049,0.0014270604325700312,2.623475253340686,5.548290252685547,,0.38038119673728943,0.4111323356628418,0.2454758733510971
