epoch,learning_rate,backbone_frozen,epoch_time_seconds,train_loss,train_classification,train_bbox_regression,train_bbox_ctrness,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,1e-05,False,459.3593034000078,2.024988693833109,0.9709090060926596,0.4356462478516793,0.6184334415209463,77.61950636587085,4533.96533203125,,0.25486627221107483,0.19913458824157715,0.07506754249334335
1,3.9999999999999996e-05,False,468.39185769998585,1.870482826087828,0.8988937335372212,0.3554055054519046,0.6161835881565937,62.70157743128995,3442.22119140625,,0.33614879846572876,0.23791681230068207,0.11962583661079407
2,7e-05,False,466.5098260999948,1.8711249088418895,0.9099828626877395,0.34517409155262413,0.6159679536645359,56.997302835418054,3293.396728515625,,0.3665585219860077,0.24931631982326508,0.12780101597309113
3,0.0001,False,442.76179940000293,1.8520022708068755,0.8963154570084314,0.3404712285581999,0.6152155866003907,51.07154223933423,2288.099853515625,,0.30612605810165405,0.2812701165676117,0.13882285356521606
4,9.509795896116975e-05,False,451.8919375000114,1.7581448542902485,0.8121594833493474,0.3313935108286372,0.6145918559109221,39.775214624211465,1830.7349853515625,,0.3061249554157257,0.32588425278663635,0.15179741382598877
5,8.136274519200731e-05,False,459.34911349997856,1.6887440613752447,0.7525834305774851,0.3219959537288964,0.6141646788521664,36.500792871865976,1308.8621826171875,,0.36044031381607056,0.35044607520103455,0.15946419537067413
6,6.151478623083756e-05,False,458.63574810000136,1.5628514437356296,0.6386353427631134,0.31095618045837836,0.6132599192748931,28.384084998231387,1138.281982421875,,0.38382676243782043,0.3726387917995453,0.17928451299667358
7,3.9485213769162445e-05,False,447.37071409999044,1.5284528992238924,0.6174089244848333,0.2987730119218691,0.6122709657792871,28.417825087814254,1623.694580078125,,0.38285815715789795,0.38126271963119507,0.19672906398773193
8,1.9637254807992697e-05,False,450.7740139999951,1.406148398684198,0.5127776631779409,0.282358334813471,0.6110123998011343,22.090213859298892,1658.4324951171875,,0.4460819661617279,0.38654306530952454,0.20866763591766357
9,5.902041038830258e-06,False,371.9991177000047,1.2871994843317336,0.4047948856050296,0.272410700668186,0.6099938969099498,15.369431014476877,1027.9373779296875,,0.45885974168777466,0.40738657116889954,0.2204260379076004
