class_id,class_name,Precision,Recall,AP@0.5,AP@0.5:0.95
0,Impacted,0.7308396957795877,0.9292929292929293,0.9128543295758536,0.56037527401756
1,Caries,0.3723639359852309,0.49295774647887325,0.3738979122279051,0.25368751188073835
2,Periapical Lesion,0.31389317524671445,0.0806173397543634,0.08109451050902756,0.043517392928259666
3,Deep Caries,0.3644385653129423,0.4119198849013715,0.3568509189662631,0.19886575062264497
