epoch,learning_rate,backbone_frozen,epoch_time_seconds,train_loss,train_classification,train_bbox_regression,train_bbox_ctrness,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,1e-05,False,372.2719263000181,1.5583007306646381,0.6119779495873751,0.3301555709289972,0.616167209332178,33.3502172282453,1266.3079833984375,,0.45552992820739746,0.26770469546318054,0.15116840600967407
1,3.9999999999999996e-05,False,368.18422670001746,1.5280216322951095,0.6026917796952246,0.31201456009616235,0.6133152905390664,28.609660504072238,1376.4569091796875,,0.4136420488357544,0.2666868269443512,0.13166490197181702
2,7e-05,False,359.3648737000185,1.4852698369151922,0.5645435734464963,0.30848150484218556,0.612244759926206,20.72790142053523,445.0721435546875,,0.49573537707328796,0.3023510277271271,0.16762562096118927
3,0.0001,False,382.17498499999056,1.480313834263877,0.5525807571459493,0.31444504303937026,0.6132880352573511,17.124582264050993,416.1991271972656,,0.42757362127304077,0.291998028755188,0.16484510898590088
4,9.915716843435315e-05,False,380.8308232999989,1.4400616785091995,0.5227614018846961,0.30441236731730414,0.6128879074634451,15.189514930059653,425.9126892089844,,0.41730421781539917,0.3020704686641693,0.15024696290493011
5,9.665737535551561e-05,False,359.0583862000203,1.4038293992771822,0.490114349078455,0.3016233796945208,0.612091668962707,12.888793526750066,327.2011413574219,,0.45501917600631714,0.2892918586730957,0.14695191383361816
6,9.258574821861591e-05,False,356.1595877999789,1.3735090669765917,0.4665284920294918,0.29491325502584237,0.6120673188331403,12.059642117598962,250.6623992919922,,0.4679882526397705,0.3624165654182434,0.18486779928207397
7,8.708094140242264e-05,False,264.4781190000067,1.3826994767779026,0.48141828829207234,0.290342442525086,0.6109387421221085,13.467133854513962,313.0057373046875,,0.5133769512176514,0.39123934507369995,0.2139533907175064
8,8.033041450077321e-05,False,266.7336591000203,1.3325847012820158,0.43400321181478174,0.28764945945681714,0.6109320303731226,11.139797239468015,410.6018371582031,,0.5142408013343811,0.401898592710495,0.21747469902038574
9,7.256404861093866e-05,False,281.92682920000516,1.3071208627059543,0.41669584750282834,0.2803249398121727,0.6101000753909531,10.403261078782304,229.654052734375,,0.535662055015564,0.39885812997817993,0.2131575495004654
10,6.404631800856812e-05,False,280.988652799977,1.2953507440206244,0.4149397228661222,0.2719134824694291,0.6084975353602705,11.26759257664787,282.7919616699219,,0.5250254273414612,0.40649545192718506,0.22983971238136292
11,5.5067283793433455e-05,False,276.72093089998816,1.2522951184902302,0.3772191320891675,0.26650687866290734,0.6085691054259063,9.909706648658304,239.91368103027344,,0.4877552092075348,0.43881893157958984,0.23415082693099976
12,4.5932716206566554e-05,False,274.3506000000052,1.2154028437404494,0.348297977661355,0.25939774664372023,0.6077071202212366,9.05181143540156,282.9261169433594,,0.538372814655304,0.4641017019748688,0.272744357585907
13,3.69536819914319e-05,False,277.17619480000576,1.169196906033431,0.315353366442905,0.24729570865812456,0.6065478321263079,8.562120252400334,257.43109130859375,,0.5642836093902588,0.4497727155685425,0.2573198974132538
14,2.8435951389061382e-05,False,275.7220442999969,1.1372578645013576,0.294222319565721,0.23813393893396637,0.6049016055180625,8.024076142127326,162.42819213867188,,0.4766598641872406,0.44960999488830566,0.2406294047832489
15,2.0669585499226815e-05,False,275.90614870001446,1.1049546189870663,0.27431916105834875,0.22681735211163456,0.60381810563573,8.150710815348441,199.87271118164062,,0.5263950824737549,0.46840304136276245,0.2675771117210388
16,1.3919058597577366e-05,False,278.3812980999937,1.0740229174030498,0.25406318806743716,0.2176107643191036,0.6023489653943277,7.480301130615915,211.38037109375,,0.5386587977409363,0.4480440616607666,0.2704133987426758
17,8.414251781384107e-06,False,280.1873626000015,1.0425269620915267,0.23269289270615767,0.2089031553292613,0.60093091467573,7.461137218359276,128.930419921875,,0.5362052917480469,0.4626719653606415,0.2695024907588959
18,4.3426246444843925e-06,False,280.63832219998585,1.0298252250106852,0.22583518944159772,0.2043295909799862,0.5996604462666154,7.274090293454834,183.54376220703125,,0.5221875309944153,0.45058879256248474,0.2717782258987427
