epoch,learning_rate,backbone_frozen,epoch_time_seconds,train_loss,train_classification,train_bbox_regression,train_bbox_ctrness,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,0.0005,False,116.17468930000177,1.7488094452421674,0.6073719167757613,0.4678212070030722,0.6736163204980765,12.351860595618183,764.4531860351562,,0.08051927387714386,0.006159312091767788,0.0019531195284798741
1,0.0005,False,116.39389479999954,1.6007215986367662,0.48705016939263596,0.44004224524324237,0.6736291854487739,6.8089839263483585,55.49087905883789,,0.16251884400844574,0.03688505291938782,0.011668389663100243
2,0.0005,False,115.54764099999738,1.5396298614108128,0.4511472498357055,0.41581360724290856,0.6726690055387705,6.851843850332716,42.22457504272461,,0.15499715507030487,0.04377128556370735,0.013384093530476093
3,0.0005,False,117.27536799999507,1.5140209781978777,0.44264419153634355,0.40050361851448957,0.6708731680263874,6.978460446060428,40.718116760253906,,0.23467491567134857,0.052081696689128876,0.016307830810546875
4,0.0005,False,113.79978490000212,1.4929083262377905,0.428963458127821,0.39373853633760925,0.6702063228437293,6.516111202085549,25.39875030517578,,0.19771873950958252,0.049936290830373764,0.016115929931402206
5,0.0005,False,114.21934659999533,1.4797956586366723,0.42174122280437454,0.3883769036787242,0.6696775292578013,7.54669479995604,32.650081634521484,,0.23356309533119202,0.0688391625881195,0.02224917523562908
6,0.0005,False,112.98009810000076,1.463321269765074,0.4094846360837882,0.38466556545211233,0.6691710724521746,7.6798035413147465,18.482807159423828,,0.2581562101840973,0.06055261194705963,0.020256752148270607
7,0.0005,False,110.75184479999734,1.4450490527790085,0.39710763712160985,0.37951829649417507,0.6684231157244941,7.758576570734804,39.4429931640625,,0.27712753415107727,0.12143158167600632,0.04044223576784134
8,0.0005,False,110.72057489999861,1.4329684335693174,0.39047705922049547,0.37656022674641626,0.66593114784372,8.57121340369406,85.54452514648438,,0.2794124484062195,0.11332741379737854,0.03939049690961838
9,0.0005,False,111.08006580000074,1.4371192001620767,0.4053006816489494,0.36900017582453215,0.6628183437745098,10.119746414756003,245.82420349121094,,0.25711071491241455,0.1314082145690918,0.04377255588769913
10,0.0005,False,110.59170179999637,1.4064226358043037,0.37028840316934625,0.3688857946318653,0.6672484384857209,9.306059758190202,22.17587661743164,,0.2794434130191803,0.12624427676200867,0.0445082001388073
11,0.0005,False,112.09148899999855,1.3765129270823862,0.34699067008881435,0.3626206758533895,0.6669015804765678,9.359249158426818,52.26839828491211,,0.2718050181865692,0.1266956329345703,0.04320758208632469
12,0.0005,False,110.91946140000073,1.3533711452715793,0.33277704684357895,0.35666474446593993,0.6639293526348314,10.256815333115426,94.1268081665039,,0.29091474413871765,0.1616649031639099,0.055065494030714035
13,0.0005,False,112.43864570000005,1.3335863120160123,0.31717264012769164,0.35068573697134553,0.6657279363045325,9.966413304873324,21.17757225036621,,0.3005763292312622,0.15790972113609314,0.050497815012931824
14,0.0005,False,111.10462240000197,1.3204762004165032,0.3096691394745097,0.3456967210600733,0.6651103424157209,10.066775430069278,23.78260040283203,,0.2886646091938019,0.16320858895778656,0.051119111478328705
15,0.0005,False,109.78804510000191,1.2909595464405261,0.2852185862025751,0.3417737537670715,0.6639672095476374,10.242274639577518,17.014726638793945,,0.28319066762924194,0.13500426709651947,0.04535260424017906
16,0.0005,False,109.5689657000039,1.2862687858975368,0.29132474868403757,0.3347072147647379,0.6602368137614447,10.686257644220886,106.60899353027344,,0.25880810618400574,0.12504331767559052,0.03480369970202446
17,0.0005,False,110.21108190000086,1.2663396263894764,0.2734261467630564,0.33070829745970276,0.6622051818650744,10.398775540865385,15.648930549621582,,0.2801193296909332,0.14961032569408417,0.041071586310863495
18,0.0005,False,109.84566349999659,1.2497077861778167,0.2661675677487725,0.32275920297935423,0.6607810157513329,10.486467481142114,15.19521713256836,,0.2703671455383301,0.16326580941677094,0.052647914737463
19,0.0005,False,109.47882729999401,1.241600935275738,0.26165906735036054,0.3211488054710844,0.6587930604031211,10.840529685078362,78.68962860107422,,0.2515542805194855,0.14071516692638397,0.039645690470933914
