epoch,learning_rate,backbone_frozen,epoch_time_seconds,train_loss,train_classification,train_bbox_regression,train_bbox_ctrness,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,1e-05,False,124.57421489999979,1.3315810829039045,0.45313732615607955,0.23801567351166536,0.6404280836282954,41.270387147602285,91.75338745117188,,0.5855264067649841,0.3066977560520172,0.1963903158903122
1,3.9999999999999996e-05,False,124.98518970000441,1.2035048451983494,0.3646242633039652,0.20401236016740684,0.6348682234161779,59.10135769554478,75.44542694091797,,0.6096209287643433,0.329206258058548,0.21239788830280304
2,7e-05,False,124.06235469999956,1.1861289295590358,0.36214706820515,0.19072284205601767,0.6332590186644179,70.92165927655302,89.53071594238281,,0.5827564597129822,0.3479671776294708,0.21320024132728577
3,0.0001,False,123.74184489999607,1.1340094874744955,0.3199781885875864,0.1820574175973653,0.6319738766442426,78.1815601611427,87.25457000732422,,0.6373584270477295,0.3998121917247772,0.23648390173912048
4,9.915716843435315e-05,False,123.73307040000509,1.2431693837227609,0.4380861243255708,0.17879237904239761,0.6262908792688779,93.00775773515585,386.5834045410156,,0.4558567404747009,0.0858219712972641,0.05531817674636841
5,9.665737535551561e-05,False,122.26313919998938,1.414196348383359,0.5770994844706917,0.20551971970540792,0.6315771423370732,123.46824754104924,571.0426025390625,,0.5361657738685608,0.11729142814874649,0.07693060487508774
6,9.258574821861591e-05,False,117.71865799999796,1.3778667836054135,0.5557307648031335,0.19181288811962613,0.630323131316104,131.71925051299183,482.8810119628906,,0.5716566443443298,0.14624489843845367,0.09626958519220352
7,8.708094140242264e-05,False,121.88198449999618,1.1716285360004255,0.3734272021634376,0.16874621402819148,0.6294551197333857,136.48785511588278,139.7757110595703,,0.5940855145454407,0.2975770831108093,0.18316960334777832
8,8.033041450077321e-05,False,117.44965590001084,1.2201005879201388,0.4307975167566948,0.1630208045244217,0.6262822674836225,140.88857241487696,258.7580871582031,,0.5854476690292358,0.29011327028274536,0.1737803816795349
9,7.256404861093866e-05,False,118.78098410001257,1.1416049256981142,0.36300347262789845,0.15121222142627846,0.6273892331219878,147.24656936707285,152.9285125732422,,0.6149396300315857,0.3267354369163513,0.2082013636827469
10,6.404631800856812e-05,False,119.16058720000728,1.0836571179903471,0.3231020712176798,0.1351279038558846,0.6254271406393784,152.8158291341805,167.93960571289062,,0.6309983134269714,0.329380601644516,0.2149982750415802
11,5.5067283793433455e-05,False,123.04220959999657,1.0546633398484604,0.3052176028972695,0.1252310605878048,0.6242146793647334,158.70506465772868,161.00416564941406,,0.6320781707763672,0.34303000569343567,0.2200736552476883
12,4.5932716206566554e-05,False,123.6174350999936,1.0249977003224948,0.2855803554477962,0.11697094670312125,0.6224463977794416,164.052031544056,169.6593017578125,,0.6421837210655212,0.34321245551109314,0.22219841182231903
13,3.69536819914319e-05,False,121.88691519999702,0.9838005811096686,0.25619856470268265,0.10544588104614362,0.6221561330532738,171.42502337621775,175.79664611816406,,0.6429767608642578,0.3520098626613617,0.22604164481163025
14,2.8435951389061382e-05,False,118.93837260000873,0.9459709742291253,0.22746096653976905,0.09733895500480888,0.6211710526393011,177.21506268582363,180.54298400878906,,0.6264132261276245,0.336688369512558,0.21532101929187775
15,2.0669585499226815e-05,False,118.4982985000097,0.9060222685095752,0.19801982884344302,0.08768981284186667,0.6203126275105032,180.11246054954375,184.3285675048828,,0.6175634860992432,0.34298935532569885,0.21914249658584595
16,1.3919058597577366e-05,False,119.07271370000672,0.8687713394763499,0.16994247163234935,0.07912449293622845,0.6197043763481171,185.24146440637256,187.6054229736328,,0.598349392414093,0.3401924669742584,0.2196786254644394
17,8.414251781384107e-06,False,122.03218730000663,0.8383611653015198,0.14606019210537918,0.07290975683885306,0.6193912157162964,188.05290537227987,190.95582580566406,,0.5598369240760803,0.33498644828796387,0.21207737922668457
18,4.3426246444843925e-06,False,121.26440480000747,0.8123870642802976,0.12698880134353996,0.06842140122674979,0.6169768608050791,189.76963688777045,191.6475830078125,,0.5340369939804077,0.32669541239738464,0.21060948073863983
19,1.8428315656468617e-06,False,121.51620440000261,0.7981877331791619,0.11672866685308425,0.06510785234119246,0.6163512089474481,192.4633703810966,195.8859405517578,,0.5222862362861633,0.3238241672515869,0.2083127349615097
