epoch,learning_rate,training_time_seconds,train_loss,train_classification,train_bbox_regression,train_bbox_ctrness,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,0.001,223.83910959993955,1.3221936568557493,0.501357523656567,0.20557927620797023,0.6152568606712557,11.733510782844142,91.74748992919922,,0.6092392206192017,0.3133827745914459,0.20481888949871063
1,0.001,222.75317060004454,1.1680769519767298,0.3897457831060355,0.1678811243399676,0.6104500450586018,6.950646774971533,87.01849365234375,,0.674261748790741,0.33956125378608704,0.21377263963222504
2,0.001,219.1346213000361,1.1334857081594738,0.3770989976551851,0.15060656688172325,0.6057801449347121,7.766823951049372,263.89764404296875,,0.6454073786735535,0.3821342885494232,0.24019668996334076
3,0.001,224.11913189990446,1.0730818857548208,0.33242598350955405,0.13716199236963442,0.6034939115346685,7.13665885674326,236.07135009765625,,0.6561058163642883,0.4098617136478424,0.25977206230163574
4,0.001,219.69001809996553,1.0576228139854154,0.33170422115306625,0.12579482366983225,0.600123768152013,9.634612944444664,704.24609375,,0.6017374396324158,0.42292144894599915,0.2637264132499695
5,0.001,220.44242219999433,0.978323784434361,0.2577113641297769,0.1169938861207682,0.6036185337464336,6.87502320961431,28.761014938354492,,0.645373523235321,0.4438188374042511,0.27638527750968933
6,0.001,219.62441649998073,0.9350431245348232,0.22324857604407106,0.10893969930074958,0.6028548467014483,7.270378088661533,43.42110824584961,,0.6138470768928528,0.41582632064819336,0.2646465599536896
7,0.001,220.50108860002365,0.886029140910639,0.1841763008521636,0.10039345579229386,0.6014593822753381,7.39168394335851,25.756540298461914,,0.6266176104545593,0.4293200969696045,0.2686418294906616
8,0.001,219.77156649995595,0.8421994196741205,0.14539097961385242,0.0960299435716409,0.600778497182406,7.887353053459754,38.756160736083984,,0.5924601554870605,0.4318348467350006,0.2642148733139038
9,0.001,220.26790950004943,0.7994696141375222,0.11435088533380254,0.08970065856812454,0.5954180704919916,8.106500295492319,67.73013305664062,,0.5575364828109741,0.4005555510520935,0.2511949837207794
10,0.001,219.6264393000165,0.7763481591696199,0.09661736308412272,0.08473354065225192,0.5949972551843898,8.147179879640278,106.00872802734375,,0.5423529148101807,0.3992307186126709,0.2446633130311966
11,0.001,244.47825160005596,0.7545711501889866,0.07369422067997426,0.08133245871858558,0.5995444706094409,7.131988569792465,28.592905044555664,,0.4956110715866089,0.41147682070732117,0.25895020365715027
12,0.001,231.25204479997046,0.7317810437457282,0.05558189110234681,0.07713036213507536,0.5990687910361812,6.637414188037517,20.919042587280273,,0.5729831457138062,0.3916372060775757,0.24468109011650085
13,0.001,241.4819313000189,0.7220088496864566,0.05054659412246243,0.07331970223953367,0.5981425534375766,6.619011083595184,23.286434173583984,,0.4685816466808319,0.39704954624176025,0.23595230281352997
14,0.001,235.3759383999277,0.7097398860734484,0.04090009889704918,0.07034962343783514,0.5984901633822484,6.104778554275451,49.040470123291016,,0.5208355188369751,0.4106731712818146,0.2525682747364044
15,0.001,220.56992419995368,0.6938628438513289,0.02822981065380489,0.0674685911701517,0.5981644411318698,5.022528716909741,19.21992301940918,,0.5090228319168091,0.43849456310272217,0.2727290689945221
16,0.001,225.34061229997315,0.6834473899501537,0.02221312177855793,0.06377055952966454,0.5974637081748561,4.806167518561669,15.84235954284668,,0.4266427755355835,0.4192103445529938,0.24857769906520844
17,0.001,231.13392039993778,0.6728163310873364,0.01593106708287635,0.05907878387523325,0.5978064797667839,4.1575752945564055,22.156612396240234,,0.4244508147239685,0.4246171712875366,0.26321348547935486
18,0.001,221.49139699991792,0.663086515206557,0.00980900760199441,0.05643024885280412,0.5968472573921265,3.492464196826765,10.018855094909668,,0.46800851821899414,0.4393036663532257,0.2741173207759857
19,0.001,226.03822200000286,0.6578501573941002,0.007403378066515384,0.05388519839055625,0.596561580534406,3.347185564909869,12.823057174682617,,0.4501362144947052,0.41781091690063477,0.26152506470680237
