epoch,learning_rate,training_time_seconds,train_loss,train_bbox_regression,train_classification,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,0.001,148.1764687000541,6.638449995748458,1.488934908663073,5.149515090450164,30.1861704626391,199.4927978515625,,0.20607411861419678,0.05218179151415825,0.019535481929779053
1,0.001,148.23992770002224,4.238686932671454,0.9827106306629796,3.2559763154675885,20.116346874544696,39.43286895751953,,0.21865344047546387,0.20725737512111664,0.0987655371427536
2,0.001,149.25548459996935,3.9078143931204274,0.7802813473728395,3.127533039739055,19.340014019320087,58.70823287963867,,0.24227415025234222,0.22265377640724182,0.10624120384454727
3,0.001,130.14268439996522,3.653083389805209,0.6669063763993401,2.9861770060754593,18.558183177824944,34.87020492553711,,0.28942808508872986,0.23452767729759216,0.11097559332847595
4,0.001,107.84887270000763,3.3779241019679653,0.5666698591122704,2.8112542436968897,18.4207856347484,42.9140739440918,,0.31642207503318787,0.24219129979610443,0.1180259957909584
5,0.001,102.96658950007986,3.101750589186145,0.4951818701961348,2.606568710457894,19.987116067640244,44.09069061279297,,0.36456871032714844,0.26675358414649963,0.12211861461400986
6,0.001,102.17670859990176,2.8525889977332084,0.4413997630678838,2.4111892369485672,21.44059468084766,55.70944595336914,,0.3763170838356018,0.2701733708381653,0.12628328800201416
7,0.001,101.7357892000582,2.6101332701021627,0.3987994388707222,2.211333836278608,22.508323123378137,99.00647735595703,,0.3616921305656433,0.28313255310058594,0.12204310297966003
8,0.001,101.83488029998261,2.429353693800588,0.37766771979870334,2.0516859754439323,23.57209965490526,127.70339965820312,,0.3472400903701782,0.2677149176597595,0.1197153776884079
9,0.001,101.77010389999487,2.248036647996595,0.33334613843790944,1.914690505112371,23.230021461363762,122.0987319946289,,0.359803169965744,0.25850749015808105,0.11445695906877518
10,0.001,104.36324119998608,2.0257215634469063,0.3145772454238707,1.7111443108127964,23.564624194175966,161.3559112548828,,0.34568148851394653,0.2750239670276642,0.1371500939130783
11,0.001,102.13027510000393,1.936484780042402,0.2999626517656349,1.636522125813269,22.541347296007217,48.84745788574219,,0.35963496565818787,0.25803032517433167,0.1278059482574463
12,0.001,101.72524189995602,1.795606965980222,0.28437779729645096,1.511229168984198,23.422408280834073,62.34651184082031,,0.3722698986530304,0.26159730553627014,0.1285930722951889
13,0.001,101.6949243999552,1.685962054998644,0.2583300188303955,1.4276320395931121,23.540619004157282,70.22891235351562,,0.37472525238990784,0.23317407071590424,0.10780195891857147
14,0.001,101.74799040006474,1.5612470320155543,0.25559403026296246,1.3056530082418072,22.74098966967675,60.813880920410156,,0.35524705052375793,0.2707296311855316,0.12973381578922272
15,0.001,101.98029870004393,1.4565933700050078,0.24879908982303836,1.2077942786197509,22.558799136069513,70.4074478149414,,0.36818182468414307,0.2714066505432129,0.1318899691104889
16,0.001,101.94117670005653,1.3402948158402597,0.23714936734928238,1.103145446748503,21.750011597910234,81.63750457763672,,0.3539087176322937,0.25464698672294617,0.1200726330280304
17,0.001,108.25517260003835,1.2719106318489197,0.21665544171006448,1.0552551909800498,21.85994823517338,53.24244689941406,,0.3487792909145355,0.27197709679603577,0.12857502698898315
18,0.001,103.03614390001167,1.1756687827648655,0.2151031998857375,0.9605655852825411,20.93783796987226,42.19379425048828,,0.36978471279144287,0.27541935443878174,0.12746591866016388
19,0.001,101.46806990006007,1.0886090006078444,0.20594040184251725,0.8826686034519826,20.059467907874815,60.44654083251953,,0.34381917119026184,0.25071829557418823,0.11212702095508575
