epoch,learning_rate,backbone_frozen,epoch_time_seconds,train_loss,train_classification,train_bbox_regression,train_bbox_ctrness,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,1e-05,False,274.0985492999898,1.5657242294740967,0.619561858550772,0.33045878138914553,0.6157035898968849,34.458796458602194,1001.8728637695312,,0.4560127556324005,0.27354010939598083,0.15502166748046875
1,3.9999999999999996e-05,False,253.83626760001061,1.516228944969951,0.5869665851034451,0.3159604409282638,0.6133019170944879,26.130650419250706,762.7058715820312,,0.4600910544395447,0.2986447811126709,0.17984408140182495
2,7e-05,False,257.25753269999404,1.497328102225948,0.5722210020975457,0.3123967947389243,0.6127103010974597,20.361288567343784,703.802978515625,,0.4572657644748688,0.30158641934394836,0.15946997702121735
3,0.0001,False,258.0155238999869,1.479005905725893,0.5527267270167991,0.31342905524052667,0.6128501222293227,17.18061545751158,402.8660888671875,,0.44826290011405945,0.27199694514274597,0.16003254055976868
4,9.915716843435315e-05,False,258.8467398000066,1.4420038209000174,0.5249021901743407,0.3044761068982962,0.6126255258827132,15.152123825787047,456.3333435058594,,0.4509662389755249,0.29223641753196716,0.16368821263313293
5,9.665737535551561e-05,False,257.5031825999904,1.4069441421520397,0.49551783000358945,0.2995591860634802,0.6118671289563904,13.22103698089205,351.7144775390625,,0.46083852648735046,0.3301621079444885,0.16922523081302643
6,9.258574821861591e-05,False,258.22840610001003,1.3792521529519293,0.47166042540668235,0.2961815287629199,0.6114101955179753,11.968490358298498,269.2359313964844,,0.4694134294986725,0.4022241234779358,0.2065722644329071
7,8.708094140242264e-05,False,258.4709892999963,1.3697431858848124,0.4675462169168445,0.2906015969011895,0.6115953726410625,12.650032761130808,421.1862487792969,,0.5223883986473083,0.4111666977405548,0.2383902370929718
8,8.033041450077321e-05,False,258.1948602000193,1.331717799872946,0.4371395149168088,0.2845637622094783,0.6100145232604919,10.907278080257393,523.5967407226562,,0.4749157428741455,0.3727564215660095,0.18511833250522614
9,7.256404861093866e-05,False,257.0000299999956,1.299970824263884,0.4103426848657233,0.279823407621461,0.609804732925268,10.127670045556693,277.00347900390625,,0.5136358141899109,0.4271232485771179,0.2078894078731537
10,6.404631800856812e-05,False,257.9894266999909,1.2919290891903288,0.40893776760895645,0.2735920882581697,0.6093992291067484,10.695975078772339,300.1492614746094,,0.4581145644187927,0.4342506527900696,0.1782539039850235
11,5.5067283793433455e-05,False,257.68622639999376,1.2439707905719053,0.37426309925305673,0.2624865608331398,0.6072211307879636,9.527070115110694,225.65553283691406,,0.49347612261772156,0.4023820757865906,0.2334340661764145
12,4.5932716206566554e-05,False,256.2701817000052,1.2058719513072627,0.34606365724627314,0.2533400161512967,0.6064682824132892,9.154650737499368,321.3914489746094,,0.5378569960594177,0.47836625576019287,0.27022331953048706
13,3.69536819914319e-05,False,255.15393219998805,1.160955528180827,0.3115668109359322,0.24446959013750297,0.604919128558215,8.237376243057406,245.78668212890625,,0.521429181098938,0.47257816791534424,0.27420416474342346
14,2.8435951389061382e-05,False,256.0335477000044,1.1281555854577503,0.29242864729832807,0.23155066485820872,0.6041762745404582,8.183701483279648,149.37962341308594,,0.48515430092811584,0.4696834683418274,0.26725900173187256
15,2.0669585499226815e-05,False,263.26330489999964,1.096878250479003,0.27107615719415235,0.22327320496825612,0.6025288863066002,8.051258591560998,155.8474884033203,,0.4709029793739319,0.4485834538936615,0.25680428743362427
16,1.3919058597577366e-05,False,255.63457479997305,1.0623063003973994,0.2506300486330487,0.21098597396097124,0.6006902777882667,7.948900074310767,209.47262573242188,,0.5026842951774597,0.46099984645843506,0.2686624825000763
17,8.414251781384107e-06,False,256.7984002000012,1.0315517356659853,0.23212896169325747,0.20079900422577443,0.5986237706083797,7.490986862724258,90.4889144897461,,0.5290660262107849,0.45924726128578186,0.2747723460197449
18,4.3426246444843925e-06,False,261.26274779997766,1.0210710326266337,0.22462696597191673,0.19844008914174222,0.5980039760017009,7.585282559327132,139.16908264160156,,0.4910088777542114,0.45367294549942017,0.2680712640285492
19,1.8428315656468617e-06,False,255.1047632000118,1.0115678286487821,0.2194187724991167,0.19468558316721635,0.5974634727406454,7.392100212781957,146.15985107421875,,0.4957790672779083,0.436810165643692,0.26082339882850647
