epoch,learning_rate,backbone_learning_rate,training_time_seconds,train_loss,train_loss_ce,train_loss_bbox,train_loss_giou,train_cardinality_error,mean_gradient_norm,max_gradient_norm,recall,mAP50,mAP50_95
0,0.0001,1e-05,290.24823609995656,1.8726066966288486,0.8324725357627096,0.05599060402014236,0.38009057034123767,6.77327935222672,90.64874533216963,1315.2728271484375,0.12952838838100433,0.048537835478782654,0.021957099437713623
1,0.0001,1e-05,312.4742955999682,1.5528855536148134,0.6262217031316719,0.04623088879352398,0.34775470179102197,9.317813765182187,70.9539703415473,898.5532836914062,0.21187864243984222,0.18024475872516632,0.08264406025409698
2,0.0001,1e-05,395.767787400051,1.6463197765321385,0.583201148068374,0.05526077857444644,0.39340736931152187,10.52834008097166,82.83677492064503,2482.34033203125,0.20578603446483612,0.15492568910121918,0.05723594129085541
3,0.0001,1e-05,390.5309886999894,1.4968575263312953,0.5688246933796145,0.04519850450760198,0.35102015365714484,12.396761133603238,65.83036199368928,875.1251220703125,0.2358180433511734,0.21049755811691284,0.09338710457086563
4,0.0001,1e-05,396.4406147999689,1.4276960962697078,0.6009983697883513,0.04150028885738087,0.3095981413536226,9.427125506072874,75.67707345939358,1369.486572265625,0.2752589285373688,0.21500520408153534,0.10804183036088943
5,0.0001,1e-05,320.19368309993297,1.3691815753214756,0.6140716130192946,0.038561756379510224,0.28115058862246,8.692307692307692,59.33854782629592,302.7359619140625,0.250204861164093,0.22202961146831512,0.09199582040309906
6,0.0001,1e-05,314.9867052999325,1.3753335058447802,0.6150244621612765,0.03750136008991404,0.2864011216018847,9.03238866396761,75.27200189968835,1451.174560546875,0.26490822434425354,0.24091804027557373,0.1100395992398262
7,0.0001,1e-05,312.34921050001867,1.4374897072189732,0.6762546769037903,0.03777542165084648,0.2861789604309599,6.775303643724697,64.2142359930494,391.0037536621094,0.2869035601615906,0.2412656545639038,0.10843716561794281
8,0.0001,1e-05,319.4836828999687,1.393998988968158,0.6475330819243844,0.03740943739801525,0.27970936357492376,7.1417004048583,61.727701511460275,291.0415954589844,0.23830842971801758,0.22586391866207123,0.08758413791656494
9,0.0001,1e-05,324.36982800008263,1.3630622478149197,0.6216114242429193,0.037195540670501556,0.2777365616217316,6.194331983805668,65.70625899774343,1821.4949951171875,0.26950278878211975,0.27494993805885315,0.11413262784481049
10,0.0001,1e-05,316.3619210999459,1.3752937502706581,0.609181213475432,0.03756304260961681,0.28914866080650914,6.196356275303644,65.03332156208363,1535.9212646484375,0.23909446597099304,0.2330438494682312,0.1113257110118866
11,0.0001,1e-05,317.6109664000105,1.3359863123430413,0.5962595221726036,0.036372618606457345,0.2789318497002366,6.672064777327935,73.79405134023442,3722.57275390625,0.3005541265010834,0.2634829580783844,0.12449542433023453
12,0.0001,1e-05,313.6828246000223,1.2634140513686516,0.5831275450797216,0.033606859022065214,0.2561261039755122,6.520242914979757,55.65622702687376,336.4556884765625,0.28022193908691406,0.2673296332359314,0.13238735496997833
13,0.0001,1e-05,330.6293228000868,1.2964490608647767,0.5548737935933025,0.036979697546676585,0.2783383917108721,7.174089068825911,56.23180711221116,236.86355590820312,0.27519491314888,0.25429588556289673,0.11687815934419632
14,0.0001,1e-05,318.549869999988,1.2597948708514937,0.5591658130589767,0.03405912741566235,0.2651667083926529,6.870445344129554,66.25304915547854,1243.5350341796875,0.2758280038833618,0.29154300689697266,0.126894012093544
15,0.0001,1e-05,313.8224203999853,1.2470488766668297,0.5512282483973484,0.03332266388347878,0.2646036540810396,7.9089068825910935,115.17983818633354,9956.3779296875,0.28627339005470276,0.26893675327301025,0.12555281817913055
16,0.0001,1e-05,320.6336997000035,1.2222161840813364,0.5562742737985333,0.03253888460969635,0.25162374409224825,6.742914979757085,60.897834275898184,883.4803466796875,0.3023417294025421,0.28762027621269226,0.13179534673690796
17,0.0001,1e-05,314.49577169993427,1.219329785238876,0.5713472672802234,0.03253650157014851,0.24265000480509963,6.297570850202429,73.38065983312815,2754.972900390625,0.31933075189590454,0.30202367901802063,0.1438191682100296
18,0.0001,1e-05,319.6045496999286,1.1319835844792818,0.5306356324237368,0.029545218363283617,0.22681093137515218,6.8785425101214575,58.72767243018517,169.9458465576172,0.3724078834056854,0.3070712387561798,0.15549175441265106
19,0.0001,1e-05,315.9540217000758,1.1556568572878354,0.5385363162287816,0.030529375327562513,0.2322368299068227,6.17004048582996,62.71913336163108,779.2896728515625,0.2882572114467621,0.27950185537338257,0.10623949021100998
