,Impacted,Caries,Periapical Lesion,Deep Caries,Background / No Match
Impacted,74,1,0,0,21
Caries,0,124,0,10,199
Periapical Lesion,0,2,2,4,18
Deep Caries,0,21,0,22,41
Background / No Match,9,133,0,9,0
