epoch,learning_rate,backbone_frozen,epoch_time_seconds,train_loss,train_classification,train_bbox_regression,train_bbox_ctrness,mean_gradient_norm,max_gradient_norm,precision,recall,mAP50,mAP50_95
0,1e-05,True,237.12932030000957,1.603311151084745,0.6115585751151458,0.3708966835638089,0.6208558915594771,23.953800951007896,653.6660766601562,,0.36842721700668335,0.19989196956157684,0.1042352020740509
1,3.9999999999999996e-05,True,238.02865260001272,1.5311367093428636,0.5820442223524709,0.3338121570813003,0.6152803301811218,21.817986050677348,401.617919921875,,0.40424054861068726,0.246015727519989,0.12521591782569885
2,7e-05,True,236.34891760000028,1.5233510256297207,0.5862567037283528,0.3234420827992306,0.6136522434546062,20.668691022642726,600.3956909179688,,0.4860847294330597,0.2635115683078766,0.14171375334262848
3,0.0001,True,234.2770470000105,1.5137380079855542,0.5754539721756872,0.324347951984067,0.6139360822238497,18.737006002700838,674.823486328125,,0.4089183807373047,0.2284073382616043,0.09003012627363205
4,9.915716843435315e-05,True,233.56432340000174,1.4713807947495405,0.5425647265045445,0.31622459039726797,0.6125914809911778,14.944737034201864,550.5026245117188,,0.44877803325653076,0.23586729168891907,0.11665528267621994
5,9.665737535551561e-05,False,256.17568309998023,1.5120471529738173,0.5829219765825155,0.31622523673891295,0.6128999379295365,18.016417378586155,474.0362243652344,,0.4085289537906647,0.2616024613380432,0.14106731116771698
6,9.258574821861591e-05,False,255.64187609998044,1.4557191016224287,0.5349629395027431,0.30865607799066735,0.6121000849451061,15.123684108861804,340.229248046875,,0.3705982267856598,0.23590663075447083,0.09354507178068161
7,8.708094140242264e-05,False,256.1457089000032,1.4221126128887307,0.5043676293041353,0.30490161182309744,0.6128433731216446,13.907731201779287,389.8728332519531,,0.48045825958251953,0.22377945482730865,0.11146985739469528
8,8.033041450077321e-05,False,258.21387489998597,1.4021514197150302,0.49421542692498793,0.2960918521844833,0.6118441444139694,13.482703827941151,335.1240234375,,0.4260166883468628,0.3271373510360718,0.1692444533109665
9,7.256404861093866e-05,False,257.0971930999949,1.357520561793755,0.45687022917048203,0.28987203991800004,0.6107782934306843,12.229126954659003,360.70086669921875,,0.5171703100204468,0.35367682576179504,0.18941418826580048
10,6.404631800856812e-05,False,254.68864569999278,1.3409146116423074,0.4424266060455334,0.2877349861676504,0.6107530225121225,12.044346532763623,326.06036376953125,,0.5460434556007385,0.40259814262390137,0.22653828561306
11,5.5067283793433455e-05,False,256.36191740000504,1.3050227193634119,0.4195068361611686,0.27672238873117594,0.6087934956347483,11.66206134502109,249.54898071289062,,0.49934330582618713,0.4422130584716797,0.23678472638130188
12,4.5932716206566554e-05,False,257.281156299985,1.2676659182590597,0.3872198753255376,0.2711683208723581,0.6092777209881595,10.277696008372741,230.95899963378906,,0.5577270984649658,0.47585660219192505,0.27740323543548584
13,3.69536819914319e-05,False,257.4732579999836,1.232687876822378,0.36382315232291906,0.26086049954620383,0.6080042253159607,9.948580524258874,288.0275573730469,,0.5084189176559448,0.492697536945343,0.2719135880470276
14,2.8435951389061382e-05,False,255.60054559999844,1.1876671723643617,0.33260230896862236,0.24932939439830626,0.6057354694205898,9.120738194873802,226.84324645996094,,0.4950304627418518,0.4617577791213989,0.2737320363521576
15,2.0669585499226815e-05,False,254.45562280001468,1.1514092884612086,0.3089427119035946,0.23823559532059133,0.6042309803604838,8.62334503024877,144.1638946533203,,0.5115473866462708,0.48221099376678467,0.22585268318653107
16,1.3919058597577366e-05,False,256.42268650000915,1.1170615788273377,0.2830723449002203,0.2306425991273555,0.6033466351926932,8.042454387304991,248.70919799804688,,0.5055831670761108,0.49570468068122864,0.28129565715789795
17,8.414251781384107e-06,False,256.6027732999937,1.0934386016058586,0.26987703263657603,0.22161474071337292,0.6019468282105714,8.24823710062441,219.89529418945312,,0.4944475591182709,0.4660625159740448,0.27573826909065247
18,4.3426246444843925e-06,False,257.5876889999781,1.0699731559217784,0.2516939258349315,0.21600459726115512,0.6022746299391586,7.476501384564878,131.72592163085938,,0.5193567276000977,0.474403977394104,0.2709377706050873
19,1.8428315656468617e-06,False,257.3092800999875,1.067640606513243,0.25053845980236755,0.21587605234877816,0.6012260911430839,7.568550898143776,162.62973022460938,,0.49757906794548035,0.47089332342147827,0.272228866815567
