predicted_class,predictions,median,mean,maximum
Impacted,495,0.2946538031101227,0.3340616517295741,0.6133749485015869
Caries,2224,0.298693522810936,0.3329611362004988,0.6874241232872009
Periapical Lesion,332,0.2403583526611328,0.2605412509516779,0.6054478883743286
Deep Caries,1054,0.2523195445537567,0.28180396019620735,0.6616816520690918
