class_id,class_name,TP,FP,FN,Precision,Recall,F1,AP50_95,AP50,mAR100,GT count,FP per GT,FN rate,share total FP,share total FN
0,Impacted,74,9,22,0.891566265060241,0.7708333333333334,0.8268156424581005,0.469931036233902,0.8307145237922668,0.6052083373069763,96,0.09375,0.22916666666666666,0.049723756906077346,0.07119741100323625
1,Caries,130,151,203,0.4626334519572954,0.39039039039039036,0.42345276872964166,0.2378043532371521,0.366830438375473,0.610510528087616,333,0.45345345345345345,0.6096096096096096,0.8342541436464088,0.656957928802589
2,Periapical Lesion,2,0,24,1.0,0.07692307692307693,0.14285714285714288,0.1336086541414261,0.212716519832611,0.2961538434028625,26,0.0,0.9230769230769231,0.0,0.07766990291262135
3,Deep Caries,24,21,60,0.5333333333333333,0.2857142857142857,0.37209302325581395,0.2243630141019821,0.3527360260486603,0.5559523701667786,84,0.25,0.7142857142857143,0.11602209944751381,0.1941747572815534
