class_name,GT count,TP,FP,FN,Precision,Recall,F1,FN rate
Impacted,96,74,9,22,0.891566265060241,0.7708333333333334,0.8268156424581005,0.22916666666666666
Caries,333,130,151,203,0.4626334519572954,0.39039039039039036,0.42345276872964166,0.6096096096096096
Periapical Lesion,26,2,0,24,1.0,0.07692307692307693,0.14285714285714288,0.9230769230769231
Deep Caries,84,24,21,60,0.5333333333333333,0.2857142857142857,0.37209302325581395,0.7142857142857143
